date,sales
2025-01-01,937.0
2025-01-02,1456.0
2025-01-03,1259.0
2025-01-04,1139.0
2025-01-05,740.0
2025-01-06,740.0
2025-01-07,652.0
2025-01-08,1380.0
2025-01-09,1141.0
2025-01-10,1237.0
2025-01-11,619.0
2025-01-12,1473.0
2025-01-13,1349.0
2025-01-14,791.0
2025-01-15,764.0
2025-01-16,1912.0
2025-01-17,874.0
2025-01-18,1072.0
2025-01-19,989.0
2025-01-20,862.0
2025-01-21,1151.0
2025-01-22,726.0
2025-01-23,863.0
2025-01-24,930.0
2025-01-25,1010.0
2025-01-26,1307.0
2025-01-27,780.0
2025-01-28,1063.0
2025-01-29,1133.0
2025-01-30,642.0
2025-01-31,1147.0
2025-02-01,753.0
2025-02-02,659.0
2025-02-03,1454.0
2025-02-04,1469.0
2025-02-05,1328.0
2025-02-06,874.0
2025-02-07,688.0
2025-02-08,1216.0
2025-02-09,996.0
2025-02-10,710.0
2025-02-11,1046.0
2025-02-12,631.0
2025-02-13,1418.0
2025-02-14,833.0
2025-02-15,1196.0
2025-02-16,881.0
2025-02-17,3204.0
2025-02-18,1092.0
2025-02-19,766.0
2025-02-20,1473.0
2025-02-21,1298.0
2025-02-22,1446.0
2025-02-23,1405.0
2025-02-24,1138.0
2025-02-25,1430.0
2025-02-26,680.0
2025-02-27,776.0
2025-02-28,641.0
2025-03-01,893.0
2025-03-02,238.0
2025-03-03,844.0
2025-03-04,1346.0
2025-03-05,921.0
2025-03-06,853.0
2025-03-07,1088.0
2025-03-08,727.0
2025-03-09,1322.0
2025-03-10,667.0
2025-03-11,1488.0
2025-03-12,1295.0
2025-03-13,779.0
2025-03-14,605.0
2025-03-15,1334.0
2025-03-16,1236.0
2025-03-17,1256.0
2025-03-18,1294.0
2025-03-19,667.0
2025-03-20,923.0
2025-03-21,704.0
2025-03-22,1377.0
2025-03-23,1161.0
2025-03-24,898.0
2025-03-25,657.0
2025-03-26,880.0
2025-03-27,893.0
2025-03-28,1257.0
2025-03-29,1174.0
2025-03-30,1398.0
2025-03-31,1025.0
