date,sales
2025-01-01,632.0
2025-01-02,1285.0
2025-01-03,1337.0
2025-01-04,1117.0
2025-01-05,1348.0
2025-01-06,1043.0
2025-01-07,1075.0
2025-01-08,970.0
2025-01-09,528.0
2025-01-10,619.0
2025-01-11,535.0
2025-01-12,1200.0
2025-01-13,846.0
2025-01-14,1059.0
2025-01-15,1498.0
2025-01-16,774.0
2025-01-17,951.0
2025-01-18,1331.0
2025-01-19,752.0
2025-01-20,585.0
2025-01-21,819.0
2025-01-22,677.0
2025-01-23,3351.0
2025-01-24,1389.0
2025-01-25,1197.0
2025-01-26,1459.0
2025-01-27,1384.0
2025-01-28,705.0
2025-01-29,1482.0
2025-01-30,1093.0
2025-01-31,1388.0
2025-02-01,1486.0
2025-02-02,850.0
2025-02-03,621.0
2025-02-04,751.0
2025-02-05,970.0
2025-02-06,1400.0
2025-02-07,1447.0
2025-02-08,508.0
2025-02-09,1062.0
2025-02-10,959.0
2025-02-11,744.0
2025-02-12,632.0
2025-02-13,871.0
2025-02-14,1537.0
2025-02-15,856.0
2025-02-16,1071.0
2025-02-17,1273.0
2025-02-18,900.0
2025-02-19,1569.0
2025-02-20,1559.0
2025-02-21,777.0
2025-02-22,1047.0
2025-02-23,831.0
2025-02-24,813.0
2025-02-25,541.0
2025-02-26,1171.0
2025-02-27,1053.0
2025-02-28,557.0
2025-03-01,807.0
2025-03-02,1499.0
2025-03-03,764.0
2025-03-04,659.0
2025-03-05,1038.0
2025-03-06,1584.0
2025-03-07,766.0
2025-03-08,1239.0
2025-03-09,1338.0
2025-03-10,761.0
2025-03-11,1301.0
2025-03-12,905.0
2025-03-13,1196.0
2025-03-14,1197.0
2025-03-15,1089.0
2025-03-16,599.0
2025-03-17,426.0
2025-03-18,853.0
2025-03-19,705.0
2025-03-20,545.0
2025-03-21,1150.0
2025-03-22,1245.0
2025-03-23,518.0
2025-03-24,1063.0
2025-03-25,749.0
2025-03-26,1210.0
2025-03-27,692.0
2025-03-28,1260.0
2025-03-29,925.0
2025-03-30,1530.0
2025-03-31,651.0
